Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2020,5,4,5/29/20,20,Beef_Skin,11607.151,5334.822,5,2321.4302,1066.9644
2020,6,1,6/5/20,5,Beef,118732.136,27377.786,5,23746.4272,5475.5572
2020,6,1,6/5/20,5,Poultry,88856.971,69615.622,5,17771.3942,13923.1244
2020,6,1,6/5/20,5,Pork,33748.576,15227.769,5,6749.7152,3045.5538
2020,6,1,6/5/20,5,Soybeans,1087085.437,3333850.892,5,217417.0874,666770.1784
2020,6,1,6/5/20,5,Corn,-363.971,13679.4,5,-72.7942,2735.88
2020,6,1,6/5/20,5,Cotton,14702.122,9612.254,5,2940.4244,1922.4508
2020,6,1,6/5/20,5,Sugar,193835.45,718681.875,5,38767.09,143736.375
2020,6,1,6/5/20,5,Beef_Skin,8226.376,3725.021,5,1645.2752,745.0042
2020,6,2,6/12/20,9,Beef,162052.766,37113.294,4,40513.1915,9278.3235
2020,6,2,6/12/20,9,Poultry,100985.799,79164.719,4,25246.44975,19791.17975
2020,6,2,6/12/20,9,Pork,54770.324,25580.631,4,13692.581,6395.15775
2020,6,2,6/12/20,9,Soybeans,1015171.801,2985466.388,4,253792.9503,746366.597
2020,6,2,6/12/20,9,Corn,669.856,1369.872,4,167.464,342.468
2020,6,2,6/12/20,9,Cotton,11711.596,7946.239,4,2927.899,1986.55975
2020,6,2,6/12/20,9,Sugar,113858.171,435911.644,4,28464.54275,108977.911
2020,6,2,6/12/20,9,Beef_Skin,9183.874,5089.009,4,2295.9685,1272.25225
2020,6,3,6/19/20,14,Beef,185979.07,42708.075,5,37195.814,8541.615
2020,6,3,6/19/20,14,Poultry,94090.762,75723.588,5,18818.1524,15144.7176
2020,6,3,6/19/20,14,Pork,38388.772,18095.505,5,7677.7544,3619.101
2020,6,3,6/19/20,14,Soybeans,1041168.138,3047466.248,5,208233.6276,609493.2496
2020,6,3,6/19/20,14,Corn,635.509,1039.545,5,127.1018,207.909
2020,6,3,6/19/20,14,Cotton,23431.793,16043.02,5,4686.3586,3208.604
2020,6,3,6/19/20,14,Sugar,267311.874,971337.718,5,53462.3748,194267.5436
2020,6,3,6/19/20,14,Beef_Skin,16998.326,8882.329,5,3399.6652,1776.4658
2020,6,5,6/30/20,21,Beef,188711.587,45276.827,7,26958.79814,6468.118143
2020,6,5,6/30/20,21,Poultry,124301.217,96313.978,7,17757.31671,13759.13971
2020,6,5,6/30/20,21,Pork,60882.887,28092.787,7,8697.555286,4013.255286
2020,6,5,6/30/20,21,Soybeans,1524489.267,4383629.566,7,217784.181,626232.7951
2020,6,5,6/30/20,21,Corn,50025.494,307107.836,7,7146.499143,43872.548
2020,6,5,6/30/20,21,Cotton,33787.19,23102.402,7,4826.741429,3300.343143
2020,6,5,6/30/20,21,Sugar,237648.89,878764.361,7,33949.84143,125537.7659
2020,6,5,6/30/20,21,Beef_Skin,13486.873,7048.851,7,1926.696143,1006.978714
2020,7,1,7/3/20,3,Beef,71370.83,17728.652,3,23790.27667,5909.550667
2020,7,1,7/3/20,3,Poultry,63306.421,47765.446,3,21102.14033,15921.81533
2020,7,1,7/3/20,3,Pork,30630.931,15004.328,3,10210.31033,5001.442667
2020,7,1,7/3/20,3,Soybeans,677364.487,1944278.454,3,225788.1623,648092.818
2020,7,1,7/3/20,3,Corn,46900.94,286906.444,3,15633.64667,95635.48133
2020,7,1,7/3/20,3,Cotton,9022.781,5914.705,3,3007.593667,1971.568333
2020,7,1,7/3/20,3,Sugar,111270.824,397412.517,3,37090.27467,132470.839
2020,7,1,7/3/20,3,Beef_Skin,7788.679,5493.469,3,2596.226333,1831.156333
2020,7,2,7/10/20,8,Beef,144424.884,35076.702,5,28884.9768,7015.3404
2020,7,2,7/10/20,8,Poultry,114689.532,88215.157,5,22937.9064,17643.0314
2020,7,2,7/10/20,8,Pork,56303.936,26486.035,5,11260.7872,5297.207
2020,7,2,7/10/20,8,Soybeans,676643.007,1971304.793,5,135328.6014,394260.9586
2020,7,2,7/10/20,8,Corn,83614.485,522504.132,5,16722.897,104500.8264
2020,7,2,7/10/20,8,Cotton,29658.204,21460.405,5,5931.6408,4292.081
2020,7,2,7/10/20,8,Sugar,212700.96,804617.614,5,42540.192,160923.5228
2020,7,2,7/10/20,8,Beef_Skin,12854.275,6089.297,5,2570.855,1217.8594
2020,7,3,7/17/20,13,Beef,174683.691,42569.912,5,34936.7382,8513.9824
2020,7,3,7/17/20,13,Poultry,82605.69,61340.898,5,16521.138,12268.1796
2020,7,3,7/17/20,13,Pork,23965.723,11744.146,5,4793.1446,2348.8292
2020,7,3,7/17/20,13,Soybeans,790374.358,2271187.008,5,158074.8716,454237.4016
2020,7,3,7/17/20,13,Corn,159357.528,921610.571,5,31871.5056,184322.1142
2020,7,3,7/17/20,13,Cotton,24355.943,17565.693,5,4871.1886,3513.1386
2020,7,3,7/17/20,13,Sugar,168065.324,594886.334,5,33613.0648,118977.2668
2020,7,3,7/17/20,13,Beef_Skin,14990.853,10092.514,5,2998.1706,2018.5028
2020,7,4,7/24/20,18,Beef,166664.616,41049.051,5,33332.9232,8209.8102
2020,7,4,7/24/20,18,Poultry,102407.56,77671.287,5,20481.512,15534.2574
2020,7,4,7/24/20,18,Pork,51735.534,23348.826,5,10347.1068,4669.7652
2020,7,4,7/24/20,18,Soybeans,893739.692,2544062.086,5,178747.9384,508812.4172
2020,7,4,7/24/20,18,Corn,154337.92,1005052.664,5,30867.584,201010.5328
2020,7,4,7/24/20,18,Cotton,24364.675,17952.592,5,4872.935,3590.5184
2020,7,4,7/24/20,18,Sugar,244180.692,839197.492,5,48836.1384,167839.4984
2020,7,4,7/24/20,18,Beef_Skin,17461.781,8014.997,5,3492.3562,1602.9994
2020,7,5,7/31/20,23,Beef,133598.326,32823.29,5,26719.6652,6564.658
2020,7,5,7/31/20,23,Poultry,83867.999,62487.24,5,16773.5998,12497.448
2020,7,5,7/31/20,23,Pork,28932.919,13638.658,5,5786.5838,2727.7316
2020,7,5,7/31/20,23,Soybeans,574925.919,1641869.206,5,114985.1838,328373.8412
2020,7,5,7/31/20,23,Corn,221879.098,1417360.135,5,44375.8196,283472.027
2020,7,5,7/31/20,23,Cotton,19518.955,14319.756,5,3903.791,2863.9512
2020,7,5,7/31/20,23,Sugar,228166.023,851714.06,5,45633.2046,170342.812
2020,7,5,7/31/20,23,Beef_Skin,12585.438,6063.67,5,2517.0876,1212.734
2020,8,1,8/7/20,5,Beef,177817.845,44062.265,5,35563.569,8812.453
2020,8,1,8/7/20,5,Poultry,151827.844,117390.162,5,30365.5688,23478.0324
2020,8,1,8/7/20,5,Pork,66127.83,30365.135,5,13225.566,6073.027
2020,8,1,8/7/20,5,Soybeans,568513.848,1593479.718,5,113702.7696,318695.9436
2020,8,1,8/7/20,5,Corn,343963.458,2042382.443,5,68792.6916,408476.4886
2020,8,1,8/7/20,5,Cotton,33268.457,24452.08,5,6653.6914,4890.416
2020,8,1,8/7/20,5,Sugar,234014.899,820068.009,5,46802.9798,164013.6018
2020,8,1,8/7/20,5,Beef_Skin,20853.989,7764.375,5,4170.7978,1552.875
2020,8,2,8/14/20,10,Beef,149004.928,37047.775,5,29800.9856,7409.555
2020,8,2,8/14/20,10,Poultry,84460.256,63642.405,5,16892.0512,12728.481
2020,8,2,8/14/20,10,Pork,34131.547,14787.717,5,6826.3094,2957.5434
2020,8,2,8/14/20,10,Soybeans,674300.785,1908377.213,5,134860.157,381675.4426
2020,8,2,8/14/20,10,Corn,224881.854,1463240.441,5,44976.3708,292648.0882
2020,8,2,8/14/20,10,Cotton,32731.178,23914.919,5,6546.2356,4782.9838
2020,8,2,8/14/20,10,Sugar,312690.579,1150703.072,5,62538.1158,230140.6144
2020,8,2,8/14/20,10,Beef_Skin,14734.344,8100.751,5,2946.8688,1620.1502
2020,8,3,8/21/20,15,Beef,166025.269,41852.304,5,33205.0538,8370.4608
2020,8,3,8/21/20,15,Poultry,97269.241,71743.794,5,19453.8482,14348.7588
2020,8,3,8/21/20,15,Pork,39175.99,17225.546,5,7835.198,3445.1092
2020,8,3,8/21/20,15,Soybeans,547129.979,1565512.092,5,109425.9958,313102.4184
2020,8,3,8/21/20,15,Corn,213355.135,1347845.31,5,42671.027,269569.062
2020,8,3,8/21/20,15,Cotton,37526.876,26859.755,5,7505.3752,5371.951
2020,8,3,8/21/20,15,Sugar,248722.319,918949.932,5,49744.4638,183789.9864
2020,8,3,8/21/20,15,Beef_Skin,22184.869,13722.556,5,4436.9738,2744.5112
2020,8,5,8/31/20,21,Beef,161390.67,40258.562,6,26898.445,6709.760333
2020,8,5,8/31/20,21,Poultry,121356.17,87900.873,6,20226.02833,14650.1455
2020,8,5,8/31/20,21,Pork,56655.942,25326.446,6,9442.657,4221.074333
2020,8,5,8/31/20,21,Soybeans,417386.854,1165213.79,6,69564.47567,194202.2983
2020,8,5,8/31/20,21,Corn,267132.722,1631646.375,6,44522.12033,271941.0625
2020,8,5,8/31/20,21,Cotton,49604.695,33790.315,6,8267.449167,5631.719167
2020,8,5,8/31/20,21,Sugar,165864.446,584361.02,6,27644.07433,97393.50333
2020,8,5,8/31/20,21,Beef_Skin,21118.474,10678.214,6,3519.745667,1779.702333
2020,9,1,9/4/20,4,Beef,133944.628,32900.619,4,33486.157,8225.15475
2020,9,1,9/4/20,4,Poultry,94756.743,70039.959,4,23689.18575,17509.98975
2020,9,1,9/4/20,4,Pork,34771.011,16030.818,4,8692.75275,4007.7045
2020,9,1,9/4/20,4,Soybeans,274775.26,755068.065,4,68693.815,188767.0163
2020,9,1,9/4/20,4,Corn,321077.173,1890776.143,4,80269.29325,472694.0358
2020,9,1,9/4/20,4,Cotton,46268.665,32215.879,4,11567.16625,8053.96975
2020,9,1,9/4/20,4,Sugar,191894.861,700188.567,4,47973.71525,175047.1418
2020,9,1,9/4/20,4,Beef_Skin,18535.706,11588.142,4,4633.9265,2897.0355
2020,9,2,9/11/20,8,Beef,133994.326,32746.445,4,33498.5815,8186.61125
2020,9,2,9/11/20,8,Poultry,94502.285,68389.529,4,23625.57125,17097.38225
2020,9,2,9/11/20,8,Pork,41651.291,16955.002,4,10412.82275,4238.7505
2020,9,2,9/11/20,8,Soybeans,298944.569,822216.117,4,74736.14225,205554.0293
2020,9,2,9/11/20,8,Corn,190033.328,1183302.448,4,47508.332,295825.612
2020,9,2,9/11/20,8,Cotton,54481.029,38500.661,4,13620.25725,9625.16525
2020,9,2,9/11/20,8,Sugar,248213.423,904439.597,4,62053.35575,226109.8993
2020,9,2,9/11/20,8,Beef_Skin,19937.413,10266.406,4,4984.35325,2566.6015
2020,9,3,9/18/20,13,Beef,118117.639,28722.102,5,23623.5278,5744.4204
2020,9,3,9/18/20,13,Poultry,95675.577,72035.915,5,19135.1154,14407.183
2020,9,3,9/18/20,13,Pork,39898.694,17008.196,5,7979.7388,3401.6392
2020,9,3,9/18/20,13,Soybeans,433111.0,1345313.865,5,86622.2,269062.773
2020,9,3,9/18/20,13,Corn,254796.418,1480067.299,5,50959.2836,296013.4598
2020,9,3,9/18/20,13,Cotton,46118.187,30780.451,5,9223.6374,6156.0902
2020,9,3,9/18/20,13,Sugar,243125.582,876746.243,5,48625.1164,175349.2486
2020,9,3,9/18/20,13,Beef_Skin,21327.857,9217.129,5,4265.5714,1843.4258
2020,9,5,9/30/20,21,Beef,197082.051,47981.778,8,24635.25638,5997.72225
2020,9,5,9/30/20,21,Poultry,149323.715,109700.071,8,18665.46438,13712.50888
2020,9,5,9/30/20,21,Pork,59727.263,26059.867,8,7465.907875,3257.483375
2020,9,5,9/30/20,21,Soybeans,631542.856,1549715.842,8,78942.857,193714.4803
2020,9,5,9/30/20,21,Corn,321743.235,2053975.889,8,40217.90438,256746.9861
2020,9,5,9/30/20,21,Cotton,83957.811,57407.452,8,10494.72637,7175.9315
2020,9,5,9/30/20,21,Sugar,329291.594,1139334.499,8,41161.44925,142416.8124
2020,9,5,9/30/20,21,Beef_Skin,23291.827,13644.359,8,2911.478375,1705.544875
2020,10,2,10/9/20,7,Beef,252644.294,60102.8,7,36092.042,8586.114286
2020,10,2,10/9/20,7,Poultry,149377.859,111486.291,7,21339.69414,15926.613
2020,10,2,10/9/20,7,Pork,71121.602,30570.793,7,10160.22886,4367.256143
2020,10,2,10/9/20,7,Soybeans,336600.105,942851.017,7,48085.72929,134693.0024
2020,10,2,10/9/20,7,Corn,352519.938,2056286.505,7,50359.99114,293755.215
2020,10,2,10/9/20,7,Cotton,121599.428,82163.252,7,17371.34686,11737.60743
2020,10,2,10/9/20,7,Sugar,345649.234,1232328.589,7,49378.462,176046.9413
2020,10,2,10/9/20,7,Beef_Skin,28963.731,13277.334,7,4137.675857,1896.762
