Year,Month,Week_Number_In_Month,Date,Running_Work_Days,Product,ValueFOB,Volume,WorkingDaysDelta,ValueFOB_Daily,Volume_Daily
2021,12,4,12/25/21,18,Crop_Chemicals,74153.596,6234.214,5,14830.7192,1246.8428
2021,12,5,12/31/21,23,Wheat,41620.965,152445.395,5,8324.193,30489.079
2021,12,5,12/31/21,23,Fertilizers,410289.109,733899.931,5,82057.8218,146779.9862
2021,12,5,12/31/21,23,Crop_Chemicals,71885.549,7378.366,5,14377.1098,1475.6732
2022,1,1,1/7/22,5,Wheat,33881.411,122671.91,5,6776.2822,24534.382
2022,1,1,1/7/22,5,Crop_Chemicals,63593.832,8382.53,5,12718.7664,1676.506
2022,1,2,1/14/22,10,Wheat,24978.268,92510.498,5,4995.6536,18502.0996
2022,1,2,1/14/22,10,Fertilizers,419062.929,898296.865,10,41906.2929,89829.6865
2022,1,2,1/14/22,10,Crop_Chemicals,76235.034,9004.261,5,15247.0068,1800.8522
2022,1,3,1/21/22,15,Wheat,29276.004,109457.78,5,5855.2008,21891.556
2022,1,3,1/21/22,15,Fertilizers,323044.921,649236.673,5,64608.9842,129847.3346
2022,1,3,1/21/22,15,Crop_Chemicals,78960.484,9092.94,5,15792.0968,1818.588
2022,1,5,1/31/22,21,Wheat,50218.669,176905.507,6,8369.778167,29484.25117
2022,1,5,1/31/22,21,Fertilizers,401570.944,758934.953,6,66928.49067,126489.1588
2022,1,5,1/31/22,21,Crop_Chemicals,78141.167,9086.488,6,13023.52783,1514.414667
2022,2,1,2/4/22,4,Wheat,9671.152,35000.0,4,2417.788,8750.0
2022,2,1,2/4/22,4,Fertilizers,374434.37,647839.609,4,93608.5925,161959.9023
2022,2,1,2/4/22,4,Crop_Chemicals,76496.152,9517.429,4,19124.038,2379.35725
2022,2,2,2/11/22,9,Wheat,50403.501,179047.735,5,10080.7002,35809.547
2022,2,2,2/11/22,9,Fertilizers,508506.532,955908.462,5,101701.3064,191181.6924
2022,2,2,2/11/22,9,Crop_Chemicals,39428.591,5548.903,5,7885.7182,1109.7806
2022,2,3,2/18/22,14,Wheat,22773.023,80273.761,5,4554.6046,16054.7522
2022,2,3,2/18/22,14,Fertilizers,318404.82,598102.605,5,63680.964,119620.521
2022,2,3,2/18/22,14,Crop_Chemicals,140911.148,16830.311,5,28182.2296,3366.0622
2022,2,4,2/25/22,19,Wheat,58731.425,204437.514,5,11746.285,40887.5028
2022,2,4,2/25/22,19,Fertilizers,422004.257,733797.214,5,84400.8514,146759.4428
2022,2,4,2/25/22,19,Crop_Chemicals,105116.761,12699.828,5,21023.3522,2539.9656
2022,3,2,3/11/22,8,Wheat,45183.75,152775.05,8,5647.96875,19096.88125
2022,3,2,3/11/22,8,Fertilizers,695397.253,1100188.001,8,86924.65663,137523.5001
2022,3,2,3/11/22,8,Crop_Chemicals,178300.591,20303.006,8,22287.57388,2537.87575
2022,3,3,3/18/22,13,Wheat,45843.807,151389.248,5,9168.7614,30277.8496
2022,3,3,3/18/22,13,Fertilizers,270998.662,493490.187,5,54199.7324,98698.0374
2022,3,3,3/18/22,13,Crop_Chemicals,68456.37,8275.797,5,13691.274,1655.1594
2022,3,5,3/31/22,22,Wheat,68511.215,223536.559,9,7612.357222,24837.39544
2022,3,5,3/31/22,22,Fertilizers,637053.714,1104422.76,9,70783.746,122713.64
